City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mormugao,15.4082,73.793,302.72,58,6,4.12,IN,1707483095
84,manggar,-2.8673,108.2759,300.21,82,56,3.35,ID,1707483096
85,susuman,62.7797,148.1536,235.94,100,99,0.89,RU,1707483097
86,saipan,15.1906,145.749,298.01,78,40,7.2,MP,1707482561
87,nadym,65.5336,72.5114,259.79,96,100,5.03,RU,1707483098
88,queenstown,-45.0322,168.661,281.19,76,100,2.29,NZ,1707483099
89,nabire,-3.3603,135.5024,299.67,86,100,0.75,ID,1707483100
90,ciudad lazaro cardenas,20.4622,-97.6991,288.32,92,10,1.46,MX,1707483101
91,chino valley,34.7575,-112.4538,271.22,91,11,0.68,US,1707483101
92,puerto ayora,-0.7472,-90.3134,297.7,98,74,0.89,EC,1707483102
93,papao,12.6919,-16.3792,307.21,31,0,4.12,SN,1707483103
94,san patricio,27.9695,-97.7732,292.51,92,100,3.49,US,1707483103
95,guiuan,11.0305,125.7238,300.35,78,43,7.49,PH,1707483104
96,recani,41.7539,20.8284,284.94,63,87,3.57,MK,1707483105
97,sidi khaled,34.3916,5.0005,297.23,12,100,10.47,DZ,1707483106
98,papatowai,-46.5619,169.4708,283.73,78,100,2.22,NZ,1707483106
99,port mathurin,-19.6808,63.4221,302.36,70,75,9.26,MU,1707483107
100,kodiak,57.79,-152.4072,276.88,100,100,8.23,US,1707483108
101,ancud,-41.8682,-73.8287,287.98,62,13,1.2,CL,1707482982
102,chibougamau,49.9137,-74.3714,273.02,69,100,4.63,CA,1707483109
103,akdepe,38.3138,57.596,292.91,24,11,1.51,TM,1707483110
104,enewetak,11.3409,162.3245,299.71,83,100,9.09,MH,1707483111
105,lihue,21.977,-159.3688,296.0,78,75,5.66,US,1707483111
106,fuerte olimpo,-21.0385,-57.8748,302.75,64,97,4.34,PY,1707483112
107,arno,7.063,171.5553,301.07,78,100,1.54,MH,1707483113
108,saint-philippe,45.3584,-73.479,278.32,62,100,6.17,CA,1707483114
109,lakatoro,-16.1068,167.4185,300.47,88,100,11.81,VU,1707483114
110,whitehorse,60.7216,-135.0549,257.49,80,100,11.18,CA,1707483003
111,wailua homesteads,22.0581,-159.3691,295.74,79,75,5.66,US,1707483117
112,vorgashor,67.5812,63.7837,257.69,90,18,5.12,RU,1707483117
113,calabozo,8.918,-67.4173,300.27,72,81,3.35,VE,1707483118
114,wynyard,51.7667,-104.1833,267.14,93,94,1.03,CA,1707483119
115,afaahiti,-17.739,-149.29,298.66,81,100,3.9,PF,1707483119
116,anadyr,64.7317,177.5061,261.08,84,75,10.0,RU,1707483120
117,arteche,11.6821,124.8624,297.84,85,0,2.9,PH,1707483121
118,coquimbo,-29.9532,-71.338,292.08,88,75,1.54,CL,1707483122
119,longboat key,27.4125,-82.659,287.67,95,86,0.45,US,1707483024
120,udachny,66.4118,112.2517,240.81,74,99,1.79,RU,1707483123
121,mount gambier,-37.8247,140.782,287.76,92,46,3.96,AU,1707483124
122,rudnyy,52.9645,63.1335,266.21,87,100,5.38,KZ,1707483125
123,volodarskiy,53.2921,68.1055,268.73,96,100,5.43,KZ,1707483125
124,alofi,-19.0534,-169.9192,298.43,100,40,0.51,NU,1707483126
125,tura,47.39,0.6889,285.48,85,75,6.17,FR,1707483127
126,petukhovo,55.0647,67.8872,262.48,95,100,2.63,RU,1707483127
127,sao joao da barra,-21.6349,-41.0487,299.92,78,9,3.25,BR,1707483128
128,grand-bassam,5.2129,-3.7432,306.13,58,4,5.33,CI,1707483129
129,kirando,-7.3712,30.6216,300.54,68,100,1.99,TZ,1707483130
130,puerto natales,-51.7262,-72.506,283.31,92,100,3.49,CL,1707483130
131,shulan,44.4085,126.9411,258.73,97,100,1.53,CN,1707483131
132,port elizabeth,-33.9617,25.6208,297.21,57,0,6.69,ZA,1707483132
133,kidal,18.4408,1.4075,301.7,6,57,2.14,ML,1707483133
134,stanley,-51.6951,-57.8492,287.34,72,20,10.29,FK,1707483133
135,katiola,8.0912,-5.1507,310.08,12,20,2.13,CI,1707483134
136,nuuk,64.175,-51.7355,264.55,66,75,10.8,GL,1707483135
137,margaret river,-33.9532,115.0769,295.3,58,0,3.74,AU,1707483136
138,mount darwin,-16.7743,31.5828,303.87,36,46,2.32,ZW,1707483136
139,elko,40.8324,-115.7631,271.4,89,100,1.54,US,1707482652
140,tuy hoa,46.652,126.9607,258.4,98,100,0.38,CN,1707483138
141,bilibino,68.055,166.4449,248.23,98,100,0.81,RU,1707483138
142,houlton,46.1251,-67.8408,271.88,85,0,0.0,US,1707483139
143,kalevala,65.2001,31.1802,260.41,84,100,2.24,RU,1707483140
144,viedma,-40.8084,-62.9947,297.74,48,100,4.4,AR,1707483141
145,fort bragg,35.1403,-79.1541,280.79,72,0,1.54,US,1707483142
146,buala,-8.1455,159.593,299.69,87,100,4.91,SB,1707483142
147,homer,59.6441,-151.5401,277.92,65,100,6.17,US,1707482900
148,tiksi,71.6366,128.8685,247.3,100,100,1.58,RU,1707483144
149,nema,16.6173,-7.2664,305.67,6,0,3.34,MR,1707483146
150,tazovsky,67.4735,78.7149,253.42,98,98,4.76,RU,1707483146
151,benguela,-12.579,13.4037,303.66,60,3,4.31,AO,1707483147
152,bath,51.3814,-2.3597,286.32,88,86,7.52,GB,1707482568
153,barra de santo antonio,-9.4038,-35.5118,303.71,64,51,5.91,BR,1707483149
154,khamis mushait,18.3,42.7333,293.52,37,40,7.2,SA,1707483150
155,codrington,51.5082,-2.3937,286.1,87,100,1.34,GB,1707483150
156,hasaki,35.753,140.8201,279.42,73,100,4.56,JP,1707483151
157,cabo san lucas,22.8939,-109.9201,292.21,70,100,0.45,MX,1707483152
158,ulsteinvik,62.3427,5.8469,273.2,75,1,4.47,NO,1707483153
159,howard springs,-12.497,131.047,301.1,87,100,0.28,AU,1707483154
160,fauske,67.2367,15.7844,258.45,90,100,4.52,NO,1707483155
161,fraserburgh,57.6936,-2.0051,274.97,83,100,15.13,GB,1707483156
162,bengkulu,-3.7923,102.2624,299.92,82,98,0.64,ID,1707483157
163,igunga,-4.2845,33.8817,302.7,49,98,0.82,TZ,1707483158
164,kyzyl-kyya,40.2607,72.1303,282.61,58,100,1.25,KG,1707483158
165,salinopolis,-0.6259,-47.3443,301.7,76,99,5.58,BR,1707483159
166,tevragh zeina,18.1111,-16.0038,304.16,27,0,1.89,MR,1707483160
167,olonkinbyen,70.9224,-8.716,270.45,63,6,4.71,SJ,1707483160
168,concordia,45.7561,12.845,285.4,72,100,0.21,IT,1707483161
169,callao,-12.0523,-77.1391,300.18,83,100,4.63,PE,1707483162
170,labytnangi,66.6615,66.3811,259.62,86,100,9.24,RU,1707483163
171,inirida,3.865,-67.926,300.28,79,95,1.08,CO,1707483163
172,kiffa,16.6162,-11.4002,306.82,6,0,4.43,MR,1707483164
173,la'ie,21.6438,-157.9244,295.71,87,79,1.79,US,1707483165
174,uturoa,-16.7437,-151.4594,297.92,80,100,0.63,PF,1707483165
175,college,45.3266,-75.8386,274.56,83,100,3.09,CA,1707483166
176,trairi,-3.2777,-39.2681,302.46,72,98,5.25,BR,1707483167
177,ath thawrah,35.8324,38.5415,290.38,43,99,6.25,SY,1707483168
178,hotan,37.1127,79.9112,274.55,56,8,2.54,CN,1707483168
179,mbaiki,3.8728,17.9861,313.09,13,9,1.46,CF,1707483169
180,devils lake,48.1128,-98.8651,269.14,90,100,7.72,US,1707483170
181,cruzeiro do sul,-29.514,-51.9917,303.98,70,0,1.32,BR,1707483170
182,union choco,8.1018,-77.6052,297.81,83,76,0.6,PA,1707483171
183,saint-francois,47.0019,-70.8129,273.6,94,100,2.44,CA,1707483172
184,nyurba,63.2866,118.3541,238.18,100,100,0.87,RU,1707483172
185,renfrew,55.8776,-4.3889,278.46,86,75,11.83,GB,1707483173
186,pauini,-7.7122,-66.9998,300.71,78,99,1.31,BR,1707483174
187,el granada,37.5029,-122.4695,281.48,91,0,0.45,US,1707483174
188,kununurra,-15.7731,128.7388,301.1,78,100,2.06,AU,1707483175
189,west island,-12.1459,96.8423,302.18,74,40,4.63,CC,1707483176
190,prado,41.9204,-5.4204,283.19,93,100,5.92,ES,1707483177
191,kruisfontein,-34.012,24.7433,296.48,53,25,8.75,ZA,1707483177
192,twin falls,42.5704,-114.4603,273.65,81,100,5.66,US,1707483178
193,ginir,7.1384,40.7117,298.86,31,12,5.61,ET,1707483179
194,avarua,-21.2075,-159.7708,300.14,78,20,6.69,CK,1707483180
195,conchas,-23.0134,-48.0078,302.29,53,18,1.65,BR,1707483181
196,karonga,-9.9393,33.9271,302.13,66,40,3.24,MW,1707483181
197,rabaul,-4.1985,152.1728,299.29,85,100,2.76,PG,1707483182
198,sokolow podlaski,52.4146,22.24,273.41,92,100,5.72,PL,1707483183
199,namibe,-15.1951,12.1458,301.38,70,42,4.89,AO,1707483184
200,velingara,14.2309,-16.7427,311.11,7,0,5.68,SN,1707483185
201,kavaratti,10.5672,72.6395,301.57,70,60,1.83,IN,1707483186
202,amursk,50.2299,136.9015,250.31,100,98,1.5,RU,1707483186
203,punta arenas,-53.1626,-70.9078,285.31,71,75,2.06,CL,1707483187
204,crane,31.3957,-102.3521,283.32,37,100,2.84,US,1707483188
205,iskateley,67.6762,53.1292,258.98,95,93,3.75,RU,1707483188
206,corner brook,48.9532,-57.9474,267.16,96,100,1.14,CA,1707482997
207,humaita,-27.5661,-53.972,301.62,62,34,3.18,BR,1707483190
208,brisas de zicatela,15.8367,-97.0429,297.21,87,70,1.15,MX,1707483190
209,hamilton,43.2561,-79.8729,282.6,72,75,5.66,CA,1707482757
210,naze,5.452,7.0567,307.88,25,5,0.99,NG,1707483192
211,port hedland,-20.3112,118.5801,303.22,69,3,3.73,AU,1707483193
212,stornoway,58.2084,-6.3881,278.13,75,75,9.26,GB,1707483193
213,thinadhoo,0.5326,72.9971,301.35,71,100,4.78,MV,1707483194
214,taro,-8.3862,115.28,296.15,96,47,0.54,ID,1707483195
215,ishigaki,24.3383,124.1578,288.28,94,75,6.17,JP,1707483196
216,san borja,-14.8582,-66.7475,300.51,75,70,2.22,BO,1707483196
217,rongelap,11.1629,166.8943,299.37,79,100,10.0,MH,1707483197
218,okha,53.5891,142.9498,248.14,96,34,2.98,RU,1707483198
219,la sarre,48.8001,-79.201,274.58,100,100,4.9,CA,1707483199
220,karatau,43.1762,70.4649,278.96,62,0,2.92,KZ,1707483199
221,tadmur,34.556,38.281,290.45,38,5,2.91,SY,1707483200
222,olyokminsk,60.373,120.4388,244.55,100,98,0.48,RU,1707483201
223,colonia,50.9384,6.96,287.53,77,100,5.14,DE,1707482802
224,alice springs,-23.6984,133.8813,302.71,23,83,3.6,AU,1707483202
225,alpine,30.3602,-103.6629,283.08,45,98,1.79,US,1707483203
226,bataipora,-22.2976,-53.2686,302.08,59,84,2.59,BR,1707483203
227,bei'an,48.2401,126.5082,252.99,100,100,1.09,CN,1707483204
228,borogontsy,62.6708,131.1661,230.56,100,85,1.09,RU,1707483205
229,xichang,27.8984,102.2628,280.8,70,100,0.58,CN,1707483206
230,chonchi,-42.624,-73.7724,288.56,62,100,1.94,CL,1707483207
231,egilsstadir,65.262,-14.4035,264.09,86,100,0.51,IS,1707483207
232,atyrau,47.1067,51.9139,274.14,75,75,4.0,KZ,1707483208
233,necochea,-38.5545,-58.7393,295.36,82,100,2.81,AR,1707483209
234,belyy yar,53.5964,91.3824,268.09,90,100,2.87,RU,1707483210
235,geraldton,-28.7704,114.6147,298.06,59,0,4.92,AU,1707483211
236,lompoc,34.6392,-120.4579,279.55,95,75,1.54,US,1707482637
237,wyoming,42.9133,-85.7057,279.58,78,40,7.72,US,1707483212
238,kapuskasing,49.4167,-82.4333,277.15,87,75,5.66,CA,1707483213
239,karwar,14.8121,74.1319,300.46,68,86,4.48,IN,1707483213
240,hihifo,-19.8155,-174.3541,300.93,83,100,3.45,TO,1707483214
241,jamestown,-15.9277,-5.7161,297.22,86,100,9.1,SH,1707483215
242,tazacorte,28.6429,-17.9326,297.53,97,20,3.6,ES,1707483216
243,al qitena,14.8763,32.3704,306.0,11,31,4.84,SD,1707483216
244,pisco,-13.71,-76.203,297.51,88,75,1.54,PE,1707483217
245,anibare,-0.5308,166.9508,301.14,77,100,5.6,NR,1707483218
246,nzega,-4.2195,33.189,301.0,56,37,1.31,TZ,1707483218
247,copala,16.6053,-98.9728,296.44,83,1,1.44,MX,1707483219
248,argo,33.6882,-86.5014,286.19,73,100,1.79,US,1707483220
249,coahuayana de hidalgo,18.6963,-103.662,291.95,83,5,1.88,MX,1707483221
250,flying fish cove,-10.4213,105.6744,300.39,89,100,3.6,CX,1707483221
251,spas-demensk,54.4126,34.031,268.58,90,100,2.18,RU,1707483222
252,hithadhoo,1.7959,73.3876,301.04,71,100,5.32,MV,1707483223
253,bor,56.3598,44.0543,261.12,90,100,4.95,RU,1707483223
254,erdenet,49.0275,104.0448,255.05,93,98,2.13,MN,1707483224
255,nueve de julio,-11.8913,-75.3149,282.85,85,100,1.75,PE,1707483225
256,sittwe,20.15,92.9,294.99,55,1,9.16,MM,1707483226
257,conception bay south,47.5067,-52.9905,273.39,98,100,6.69,CA,1707483226
258,nyala,12.0505,24.8795,306.44,11,0,2.63,SD,1707483227
259,port augusta,-32.4909,137.764,295.63,50,0,7.17,AU,1707483228
260,nova vicosa,-17.8908,-39.3725,299.63,72,85,3.49,BR,1707483228
261,kingston,17.9712,-76.7928,297.54,74,20,1.03,JM,1707483000
262,port lincoln,-34.7212,135.8592,290.54,79,0,8.59,AU,1707483230
263,espargos,16.7578,-22.9431,299.06,44,0,6.17,CV,1707483230
264,lesozavodsk,45.4748,133.4182,257.41,98,100,1.28,RU,1707483231
265,quellon,-43.12,-73.6203,287.12,77,100,4.19,CL,1707483232
266,fergana,40.3765,71.7913,285.18,47,23,2.06,UZ,1707483233
267,cill airne,52.0598,-9.5081,283.14,81,75,2.57,IE,1707483233
268,richards bay,-28.7708,32.0578,306.51,48,24,6.95,ZA,1707483235
269,adrar,27.8734,-0.2875,297.27,12,0,5.66,DZ,1707483236
270,kolosovka,56.4676,73.6066,267.83,85,100,6.9,RU,1707483236
271,puerto san carlos,-12.6608,-63.55,303.74,58,98,1.59,BR,1707483237
272,carnarvon,-24.8826,113.6576,301.91,50,0,7.09,AU,1707483238
273,jinshi,29.4945,111.8599,278.93,84,15,3.17,CN,1707483239
274,holualoa,19.6238,-155.9536,293.92,87,75,3.09,US,1707483239
275,portland,45.5202,-122.6742,279.14,93,100,1.34,US,1707483240
276,al ghayzah,13.5591,44.0257,297.69,30,9,0.63,YE,1707483241
277,avenal,36.0041,-120.129,275.02,86,59,1.17,US,1707483241
278,ar rahad,14.5686,43.749,296.53,52,14,3.03,YE,1707483242
279,mana,43.0818,0.9505,289.42,45,93,2.36,FR,1707483243
280,korotchaevo,65.9176,78.1971,261.46,95,100,4.37,RU,1707483244
281,tsengel,48.9523,89.1462,256.83,83,57,3.28,MN,1707483244
282,kerikeri,-35.2273,173.9491,291.3,89,99,1.43,NZ,1707483246
283,ketchikan,55.3431,-131.6467,276.67,74,100,2.14,US,1707483246
284,brak,27.5516,14.2721,295.08,15,0,2.46,LY,1707483247
285,santa cruz,28.4696,-16.2541,297.84,72,20,9.26,ES,1707483249
286,abhar,36.1437,49.22,281.23,45,100,3.69,IR,1707483249
287,kuanda,56.3257,116.0827,254.64,96,100,0.68,RU,1707483250
288,san luis,-33.295,-66.3356,294.93,77,100,2.3,AR,1707483237
289,tyumentsevo,53.319,81.498,275.33,99,100,8.99,RU,1707483251
290,buka,-5.2314,154.6315,301.18,80,98,6.57,PG,1707483252
291,mikhaylovskoye,43.0975,44.6365,287.47,47,4,6.0,RU,1707483253
292,kurchatov,51.6595,35.6589,271.71,86,57,1.42,RU,1707483254
293,show low,34.2542,-110.0298,266.53,90,26,4.2,US,1707483012
294,kourou,5.1581,-52.6426,303.16,69,100,4.32,GF,1707483255
295,moosburg,48.4667,11.9333,286.93,75,0,2.06,DE,1707483245
296,ola,35.0323,-93.2232,288.77,97,100,1.62,US,1707483257
297,dunedin,-45.8742,170.5036,286.93,89,100,1.99,NZ,1707483061
298,khandud,36.9517,72.3136,263.28,56,100,0.33,AF,1707483258
299,dunbar,56.0021,-2.5158,277.3,98,100,14.15,GB,1707483259
300,terracina,41.2871,13.2492,289.76,87,100,6.95,IT,1707483260
301,oranjemund,-28.5519,16.4284,295.0,62,0,8.83,NA,1707483260
302,bissendorf,52.235,8.1702,285.14,85,100,6.7,DE,1707483261
303,claveria,18.6052,121.0806,295.79,88,100,5.14,PH,1707483262
304,krivosheino,57.3437,83.9302,273.21,79,87,7.41,RU,1707483262
305,karratha,-20.737,116.8479,303.45,60,3,3.63,AU,1707483263
306,fortuna,40.5974,-124.156,279.44,95,100,1.86,US,1707483264
307,aoulef,26.9722,1.0787,297.18,10,100,4.17,DZ,1707483265
308,dryden,42.4909,-76.2972,279.14,64,75,4.63,US,1707483266
309,moapa valley,36.5805,-114.4703,279.01,64,95,0.95,US,1707483266
310,arraial do cabo,-22.9663,-42.0244,303.09,70,40,5.66,BR,1707483267
311,radhanpur,23.8316,71.6104,294.99,22,0,4.57,IN,1707483268
312,sesheke,-17.4809,24.2945,308.95,28,73,2.11,ZM,1707483268
313,vadso,70.2267,29.7828,257.01,85,40,4.63,NO,1707483269
314,gebeit,21.0667,36.3167,300.53,19,0,3.67,SD,1707483270
315,kirklareli,41.737,27.2236,288.66,69,26,7.77,TR,1707483270
316,mojoagung,-7.5699,112.3449,301.84,93,100,1.23,ID,1707483271
317,vorkuta,67.5036,64.0627,257.75,90,18,4.62,RU,1707483272
318,kirensk,57.7764,108.1163,266.94,96,100,3.13,RU,1707483273
319,benjamin constant,-4.3783,-70.0291,299.18,94,75,2.57,BR,1707483274
320,tomatlan,19.0312,-97.0097,286.0,74,0,1.6,MX,1707483275
321,'ohonua,-21.3413,-174.9561,299.19,84,100,3.81,TO,1707483275
322,cockburn town,21.4608,-71.14,296.55,66,13,6.82,TC,1707483276
323,la ronge,55.1005,-105.29,265.25,86,100,1.03,CA,1707483277
324,masterton,-40.9496,175.6594,288.62,92,4,1.98,NZ,1707483277
325,corinto,37.9385,22.9274,290.29,57,0,2.05,GR,1707483278
326,olgii,48.9682,89.9621,259.18,77,25,3.12,MN,1707483280
327,antalaha,-14.9012,50.281,302.17,74,100,2.49,MG,1707483280
328,weno,7.4401,151.857,299.62,78,40,4.12,FM,1707483281
329,wajir,1.7505,40.0595,311.63,23,57,5.38,KE,1707483282
330,urangan,-25.2872,152.8981,298.27,87,2,2.24,AU,1707483282
331,saint-pierre,48.3833,7.4719,288.2,87,100,3.22,FR,1707483283
332,abadan,30.3636,48.2591,295.78,24,2,3.23,IR,1707483284
333,beardstown,40.0175,-90.4243,277.88,86,97,3.17,US,1707483285
334,batang,30.0101,99.1124,273.12,39,37,1.4,CN,1707483285
335,qaqortoq,60.7182,-46.0385,257.19,63,100,3.16,GL,1707483286
336,san jose del guaviare,2.5716,-72.6427,300.72,75,13,0.44,CO,1707483287
337,gaalkacyo,6.7697,47.4308,308.2,23,5,7.91,SO,1707483287
338,georgetown,6.8137,-58.1624,301.31,69,81,3.75,GY,1707483288
339,klaksvik,62.2266,-6.5853,273.73,88,100,12.44,FO,1707483289
340,fuvahmulah,-0.2948,73.4241,301.66,69,99,5.03,MV,1707483290
341,kyshtym,55.7099,60.5511,262.1,84,97,3.93,RU,1707483291
342,santiago de cao,-7.9605,-79.238,296.25,94,75,2.57,PE,1707483291
343,metlili chaamba,32.2605,3.6259,293.83,12,82,11.68,DZ,1707483292
344,nemuro,43.3301,145.5829,268.5,82,100,0.52,JP,1707483293
345,longyearbyen,78.2232,15.6464,263.3,73,75,5.14,SJ,1707483293
346,pirawa,24.1615,76.0338,294.1,20,6,2.78,IN,1707483295
347,ceelbuur,4.6815,46.6234,309.73,23,15,8.1,SO,1707483295
348,turpan,42.94,89.184,277.06,49,0,0.32,CN,1707483296
349,gunjur,13.176,-16.7599,307.19,24,0,3.35,GM,1707483297
350,mosfellsbaer,64.1675,-21.6971,267.96,79,100,2.51,IS,1707483297
351,sangin,32.0702,64.8474,288.02,23,0,0.82,AF,1707483298
352,mason city,43.1525,-93.2018,275.0,80,75,7.72,US,1707483299
353,bintulu,3.1874,113.0473,299.79,86,100,4.37,MY,1707483300
354,palmerston,-45.4842,170.7153,286.9,91,100,1.69,NZ,1707483300
355,st. john's,47.5571,-52.7069,273.06,97,100,7.15,CA,1707483275
356,elverum,60.9728,11.7344,261.64,90,46,0.17,NO,1707483302
357,las tablas,7.7678,-80.2764,297.08,99,100,6.63,PA,1707483302
358,taybad,34.7402,60.7755,288.79,23,0,4.27,IR,1707483303
359,margate,51.3878,1.382,285.38,80,94,6.26,GB,1707483304
360,fortaleza,-3.7305,-38.5218,304.22,99,97,5.13,BR,1707483305
361,san andres,12.5203,122.0117,299.46,80,0,4.8,PH,1707483305
362,aldama,22.9196,-98.0742,293.87,84,98,1.17,MX,1707483306
363,quba,41.3614,48.5138,284.74,52,100,4.3,AZ,1707483307
364,aswan,24.0911,32.8973,300.8,14,0,2.57,EG,1707483307
365,al jawf,24.1985,23.2939,294.84,18,0,1.49,LY,1707483308
366,al qutayfah,33.7365,36.6007,291.05,37,0,2.52,SY,1707483309
367,fougamou,-1.2165,10.5914,305.42,63,62,1.19,GA,1707483310
